item,categoria,unidade_padrao,termo_busca,coletar,observacao
Arroz,Alimentos básicos,kg,arroz prato fino 1kg,sim,
Feijão - mulatinho,Alimentos básicos,kg,feijão mulatinho 1kg,sim,
Feijão - preto,Alimentos básicos,kg,feijão preto 1kg,sim,
Feijão - macáçar (fradinho),Alimentos básicos,kg,feijão fradinho 1kg,sim,
Feijão - carioca (rajado),Alimentos básicos,kg,feijão carioca 1kg,sim,
Farinha de arroz,Alimentos básicos,kg,farinha de arroz,sim,
Macarrão,Alimentos básicos,500g,macarrão espaguete 500g,sim,
Fubá de milho,Alimentos básicos,kg,fubá de milho,sim,
Flocos de milho,Alimentos básicos,500g,flocos de milho,sim,
Farinha de trigo,Alimentos básicos,kg,farinha de trigo 1kg,sim,
Farinha de mandioca,Alimentos básicos,kg,farinha de mandioca,sim,
Massa semipreparada,Alimentos básicos,unidade,massa semipreparada,sim,
Macarrão instantâneo,Alimentos básicos,unidade,macarrão instantâneo,sim,
Batata-doce,Hortifrúti,kg,batata doce kg,sim,
Batata-inglesa,Hortifrúti,kg,batata inglesa kg,sim,
Inhame,Hortifrúti,kg,inhame kg,sim,
Mandioca (aipim),Hortifrúti,kg,mandioca aipim kg,sim,
Pepino,Hortifrúti,kg,pepino kg,sim,
Pimentão,Hortifrúti,kg,pimentão kg,sim,
Tomate,Hortifrúti,kg,tomate kg,sim,
Cebola,Hortifrúti,kg,cebola kg,sim,
Cenoura,Hortifrúti,kg,cenoura kg,sim,
Açúcar refinado,Alimentos básicos,kg,açúcar refinado 1kg,sim,
Açúcar cristal,Alimentos básicos,kg,açúcar cristal 1kg,sim,
Balas,Doces,unidade,balas pacote,sim,
Chocolate em barra e bombom,Doces,unidade,chocolate barra bombom,sim,
Sorvete,Doces,litro,sorvete,sim,
Chocolate e achocolatado em pó,Doces,unidade,achocolatado em pó,sim,
Açúcar demerara,Alimentos básicos,kg,açúcar demerara,sim,
Alface,Hortifrúti,unidade,alface,sim,
Coentro,Hortifrúti,unidade,coentro,sim,
Couve,Hortifrúti,unidade,couve,sim,
Repolho,Hortifrúti,kg,repolho kg,sim,
Cheiro-verde,Hortifrúti,unidade,cheiro verde,sim,
Brócolis,Hortifrúti,unidade,brócolis,sim,
Banana-da-terra,Hortifrúti,kg,banana da terra kg,sim,
Abacaxi,Hortifrúti,unidade,abacaxi,sim,
Abacate,Hortifrúti,kg,abacate kg,sim,
Banana - d'água,Hortifrúti,kg,banana d água kg,sim,
Banana - maçã,Hortifrúti,kg,banana maçã kg,sim,
Banana - prata,Hortifrúti,kg,banana prata kg,sim,
Laranja - baía,Hortifrúti,kg,laranja baía kg,sim,
Limão,Hortifrúti,kg,limão kg,sim,
Maçã,Hortifrúti,kg,maçã kg,sim,
